id,rank,player,status,pokemon_count,missing_fields,source_url,source_platform
pikalytics_rank_002,2,Marco Hemantha Kaludura Silva,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_009,9,Feis,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_031,31,N8_dawgg,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_052,52,Louis Fontvieille,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_059,59,BadassFroslass,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_063,63,Nick Navarre,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_079,79,QueerCrocodile,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_083,83,Gabeeel,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_087,87,DreepyG,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_089,89,Hữu Hoàng,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_091,91,almondspy,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_094,94,Oscar P,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_113,113,Soraxjm,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_117,117,QueerCrocodile,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_128,128,BHelixB,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_129,129,megathorn,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_130,130,Caio A,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_131,131,Vergil,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_133,133,Fluffy_m1n,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_136,136,Spoinkman,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_137,137,IdleFroicker,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_139,139,volcaronavgc,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_140,140,Samuel T,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_141,141,Amoht,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_142,142,Cfoowl,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_143,143,Carlos Espí,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_147,147,averagememer57,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_150,150,Soraxjm,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_152,152,ARTYCODE1,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_153,153,Alvaro360,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_155,155,Aung_Cow,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_158,158,Boopmydoop,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_159,159,Eduardo Cunha,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_163,163,lauletnb,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_164,164,ICPX,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_165,165,ZoryaPet,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_166,166,Rheiyne,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_167,167,Aarubi,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_168,168,LigmaSigma67,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_169,169,Car,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_170,170,mihir,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_171,171,SinVGC,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_172,172,darxzy,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_173,173,tillly,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_174,174,jeanlopez25,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_175,175,JuanPabla,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_176,176,krem,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_177,177,AleK97,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_178,178,Gouillou,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_179,179,Bebot,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_180,180,KennethIsBack,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_181,181,moicito,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_182,182,rickinch,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_183,183,DisPlotfr,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_184,184,juneberry123,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_185,185,Evan Scott,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_186,186,AthenaStriveVGC,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_187,187,DhonwolfVGC,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_188,188,Luis_Flygon,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_189,189,NMR | Ueda,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_190,190,JuanPabla,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_191,191,Evan Scott,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_192,192,Lorenzo Profeta,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_193,193,SoulVGC,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_194,194,giodude09,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_195,195,h8davis,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_196,196,Ruben Abreu,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_197,197,Rees,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_198,198,Altkyle,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_199,199,Drurtle,failed,0,No source URL / not scraped,,unknown
pikalytics_rank_200,200,10522,failed,0,No source URL / not scraped,,unknown
